   GoodVibes v3.0.1 2023/07/27 10:08:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_endo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_endo_1050_reactant_1,0.075037,0.085524,0.166528,0.034989,0.034989,0.131539,0.131539,
o  ts_endo_1050_reactant_2,0.029357,0.079237,0.113646,0.030206,0.030199,0.083440,0.083447,
o  ts_endo_1051_reactant_1,0.093459,0.084854,0.184515,0.036422,0.036406,0.148093,0.148109,
o  ts_endo_1051_reactant_2,0.029851,0.079227,0.114128,0.030199,0.030193,0.083929,0.083935,
o  ts_endo_1052_reactant_1,0.012474,0.087270,0.105364,0.033654,0.033659,0.071710,0.071706,
o  ts_endo_1052_reactant_2,0.028771,0.079249,0.113074,0.030212,0.030205,0.082862,0.082869,
o  ts_endo_1053_reactant_1,0.072394,0.122242,0.201371,0.036595,0.035886,0.164776,0.165485,
o  ts_endo_1053_reactant_2,-0.018371,0.084688,0.072240,0.033156,0.033128,0.039084,0.039111,
o  ts_endo_1054_reactant_1,0.022372,0.127871,0.157771,0.038315,0.038000,0.119456,0.119771,
o  ts_endo_1054_reactant_2,-0.018878,0.084702,0.071744,0.033153,0.033125,0.038592,0.038619,
o  ts_endo_1055_reactant_1,0.133665,0.094509,0.234658,0.035963,0.035912,0.198696,0.198746,
o  ts_endo_1055_reactant_2,-0.018358,0.084691,0.072240,0.033114,0.033091,0.039126,0.039149,
o  ts_endo_1056_reactant_1,0.073398,0.085550,0.164910,0.034978,0.034979,0.129932,0.129931,
o  ts_endo_1056_reactant_2,-0.018744,0.084701,0.071872,0.033137,0.033112,0.038735,0.038760,
o  ts_endo_1057_reactant_1,0.091887,0.084877,0.182962,0.036406,0.036392,0.146556,0.146570,
o  ts_endo_1057_reactant_2,-0.018089,0.084686,0.072507,0.033123,0.033100,0.039384,0.039408,
o  ts_endo_1058_reactant_1,0.010812,0.087295,0.103726,0.033652,0.033657,0.070074,0.070069,
o  ts_endo_1058_reactant_2,-0.019571,0.084724,0.071070,0.033146,0.033118,0.037925,0.037952,
o  ts_endo_1059_reactant_1,0.073140,0.122258,0.202123,0.036411,0.035813,0.165711,0.166309,
o  ts_endo_1059_reactant_2,0.035421,0.069127,0.109263,0.029351,0.029353,0.079911,0.079909,
o  ts_endo_1060_reactant_1,0.023168,0.127863,0.158558,0.038302,0.037986,0.120257,0.120572,
o  ts_endo_1060_reactant_2,0.034726,0.069092,0.108538,0.029352,0.029354,0.079186,0.079184,
o  ts_endo_1061_reactant_1,0.133848,0.094496,0.234850,0.036013,0.035955,0.198837,0.198895,
o  ts_endo_1061_reactant_2,0.035679,0.069062,0.109460,0.029355,0.029357,0.080105,0.080103,
o  ts_endo_1062_reactant_1,0.074175,0.085528,0.165682,0.035010,0.035010,0.130672,0.130672,
o  ts_endo_1062_reactant_2,0.035171,0.069096,0.108984,0.029353,0.029355,0.079631,0.079629,
o  ts_endo_1063_reactant_1,0.093226,0.084855,0.184302,0.036463,0.036444,0.147839,0.147858,
o  ts_endo_1063_reactant_2,0.036136,0.069089,0.109941,0.029355,0.029357,0.080586,0.080584,
o  ts_endo_1064_reactant_1,0.011397,0.087287,0.104312,0.033664,0.033669,0.070648,0.070643,
o  ts_endo_1064_reactant_2,0.034585,0.069082,0.108389,0.029355,0.029358,0.079034,0.079032,
o  ts_endo_1065_reactant_1,0.073636,0.122231,0.202593,0.036501,0.035845,0.166092,0.166748,
o  ts_endo_1065_reactant_2,0.030728,0.042065,0.077236,0.029909,0.029910,0.047328,0.047327,
