   GoodVibes v3.0.1 2023/07/27 10:12:58
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1529_reactant_2,0.092757,0.056153,0.153459,0.028626,0.028627,0.124834,0.124832,
o  ts_1530_reactant_1,0.072031,0.085640,0.163604,0.034911,0.034914,0.128693,0.128691,
o  ts_1530_reactant_2,0.093469,0.056144,0.154172,0.028648,0.028650,0.125524,0.125522,
o  ts_1532_reactant_1,0.011019,0.087328,0.103957,0.033637,0.033641,0.070320,0.070315,
o  ts_1532_reactant_2,0.093137,0.056152,0.153852,0.028660,0.028661,0.125192,0.125191,
o  ts_1533_reactant_1,0.084224,0.094735,0.183874,0.031442,0.031444,0.152432,0.152430,
o  ts_1533_reactant_2,0.065375,0.061372,0.132283,0.032216,0.032161,0.100067,0.100123,
o  ts_1534_reactant_1,0.069568,0.122371,0.198615,0.036122,0.035693,0.162493,0.162922,
o  ts_1534_reactant_2,0.066243,0.061357,0.133141,0.032234,0.032171,0.100907,0.100970,
o  ts_1535_reactant_1,0.018683,0.127970,0.154185,0.038294,0.038027,0.115890,0.116157,
o  ts_1535_reactant_2,0.066437,0.061343,0.133332,0.032273,0.032197,0.101059,0.101135,
o  ts_1536_reactant_1,0.130464,0.094622,0.231543,0.035874,0.035843,0.195668,0.195699,
o  ts_1536_reactant_2,0.064224,0.061413,0.131154,0.032148,0.032105,0.099006,0.099049,
o  ts_1537_reactant_1,0.069244,0.085682,0.160865,0.034925,0.034928,0.125940,0.125938,
o  ts_1537_reactant_2,0.065773,0.061382,0.132691,0.032212,0.032155,0.100479,0.100537,
o  ts_1539_reactant_1,0.008183,0.087357,0.101161,0.033662,0.033667,0.067499,0.067494,
o  ts_1539_reactant_2,0.064896,0.061393,0.131825,0.032215,0.032157,0.099610,0.099668,
o  ts_1540_reactant_1,0.083723,0.094757,0.183396,0.031445,0.031447,0.151950,0.151949,
o  ts_1540_reactant_2,0.109390,0.044863,0.158894,0.028509,0.028511,0.130385,0.130383,
o  ts_1547_reactant_1,0.085492,0.094722,0.185127,0.031439,0.031441,0.153688,0.153686,
o  ts_1547_reactant_2,0.104752,0.018864,0.127875,0.028656,0.028657,0.099219,0.099218,
o  ts_1548_reactant_1,0.070033,0.122403,0.199089,0.035999,0.035643,0.163091,0.163446,
o  ts_1548_reactant_2,0.104056,0.018850,0.127163,0.028578,0.028579,0.098585,0.098584,
o  ts_1549_reactant_1,0.019340,0.127991,0.154836,0.038188,0.037966,0.116648,0.116870,
o  ts_1549_reactant_2,0.104170,0.018862,0.127288,0.028592,0.028593,0.098695,0.098695,
o  ts_1550_reactant_1,0.131467,0.094631,0.232543,0.035839,0.035812,0.196704,0.196730,
o  ts_1550_reactant_2,0.101983,0.018822,0.125061,0.028457,0.028457,0.096604,0.096603,
o  ts_1551_reactant_1,0.070454,0.085682,0.162071,0.034918,0.034920,0.127153,0.127151,
o  ts_1551_reactant_2,0.102496,0.018855,0.125606,0.028510,0.028511,0.097096,0.097095,
o  ts_1552_reactant_1,0.088053,0.085018,0.179217,0.036263,0.036261,0.142954,0.142956,
o  ts_1552_reactant_2,0.100841,0.018787,0.123889,0.028385,0.028386,0.095503,0.095503,
o  ts_1553_reactant_1,0.008643,0.087378,0.101634,0.033646,0.033651,0.067988,0.067983,
o  ts_1553_reactant_2,0.103639,0.018872,0.126766,0.028578,0.028578,0.098188,0.098187,
o  ts_1554_reactant_1,0.085283,0.094719,0.184916,0.031440,0.031442,0.153475,0.153474,
o  ts_1554_reactant_2,0.144938,0.112943,0.264720,0.036689,0.036695,0.228031,0.228025,
o  ts_1561_reactant_1,0.038344,0.070730,0.113730,0.031004,0.031005,0.082726,0.082725,
o  ts_1561_reactant_2,0.111992,0.025385,0.141390,0.024792,0.024792,0.116598,0.116598,
o  ts_1562_reactant_1,0.026998,0.098219,0.131689,0.036615,0.035624,0.095074,0.096066,
o  ts_1562_reactant_2,0.111522,0.025408,0.140938,0.024781,0.024781,0.116157,0.116157,
o  ts_1563_reactant_1,-0.022579,0.103717,0.088415,0.037762,0.037585,0.050653,0.050830,
o  ts_1563_reactant_2,0.110457,0.025438,0.139902,0.024756,0.024756,0.115146,0.115146,
o  ts_1564_reactant_1,0.096180,0.070631,0.172953,0.035284,0.035274,0.137668,0.137679,
o  ts_1564_reactant_2,0.110952,0.025437,0.140390,0.024761,0.024762,0.115629,0.115629,
o  ts_1565_reactant_1,0.035461,0.061511,0.102634,0.034439,0.034443,0.068195,0.068191,
o  ts_1565_reactant_2,0.110663,0.025439,0.140105,0.024758,0.024758,0.115348,0.115348,
o  ts_1566_reactant_1,0.054041,0.060911,0.120825,0.035789,0.035791,0.085036,0.085034,
o  ts_1566_reactant_2,0.110898,0.025440,0.140340,0.024762,0.024762,0.115578,0.115577,
o  ts_1567_reactant_1,-0.034925,0.063076,0.033544,0.033250,0.033254,0.000294,0.000290,
o  ts_1567_reactant_2,0.110260,0.025443,0.139708,0.024748,0.024748,0.114960,0.114959,
o  ts_1568_reactant_1,0.036195,0.070805,0.111653,0.031001,0.031002,0.080652,0.080651,
o  ts_1568_reactant_2,0.096158,0.056066,0.156796,0.028689,0.028691,0.128107,0.128106,
o  ts_1569_reactant_1,0.022928,0.098429,0.127749,0.035762,0.035217,0.091987,0.092532,
o  ts_1569_reactant_2,0.095648,0.056076,0.156286,0.028662,0.028663,0.127624,0.127623,
o  ts_1570_reactant_1,-0.026520,0.103895,0.084614,0.037606,0.037489,0.047007,0.047125,
o  ts_1570_reactant_2,0.095230,0.056100,0.155895,0.028674,0.028676,0.127221,0.127220,
o  ts_1571_reactant_1,0.092413,0.070780,0.169312,0.035226,0.035219,0.134086,0.134092,
o  ts_1571_reactant_2,0.094927,0.056091,0.155569,0.028638,0.028640,0.126930,0.126929,
o  ts_1572_reactant_1,0.031578,0.061664,0.098885,0.034399,0.034403,0.064486,0.064482,
o  ts_1572_reactant_2,0.094980,0.056099,0.155642,0.028661,0.028663,0.126981,0.126979,
o  ts_1573_reactant_1,0.049731,0.061062,0.116645,0.035737,0.035740,0.080908,0.080905,
o  ts_1573_reactant_2,0.095307,0.056089,0.155953,0.028649,0.028650,0.127304,0.127302,
o  ts_1574_reactant_1,-0.037982,0.063207,0.030605,0.033227,0.033231,-0.002622,-0.002626,
o  ts_1574_reactant_2,0.094696,0.056105,0.155364,0.028669,0.028670,0.126695,0.126694,
o  ts_1575_reactant_1,0.032498,0.070901,0.108049,0.030996,0.030997,0.077053,0.077052,
o  ts_1575_reactant_2,0.067603,0.061300,0.134440,0.032215,0.032160,0.102224,0.102280,
o  ts_1576_reactant_1,0.019744,0.098537,0.124657,0.035654,0.035176,0.089003,0.089481,
o  ts_1576_reactant_2,0.067861,0.061306,0.134709,0.032232,0.032170,0.102476,0.102539,
o  ts_1577_reactant_1,-0.027939,0.103859,0.083304,0.038592,0.037892,0.044712,0.045413,
o  ts_1577_reactant_2,0.067296,0.061314,0.134157,0.032255,0.032185,0.101902,0.101972,
o  ts_1578_reactant_1,0.089532,0.070838,0.166498,0.035252,0.035244,0.131246,0.131254,
o  ts_1578_reactant_2,0.066156,0.061357,0.133028,0.032142,0.032101,0.100886,0.100927,
o  ts_1579_reactant_1,0.028105,0.061756,0.095504,0.034400,0.034404,0.061104,0.061100,
o  ts_1579_reactant_2,0.066831,0.061346,0.133710,0.032198,0.032145,0.101512,0.101565,
o  ts_1580_reactant_1,0.046375,0.061148,0.113374,0.035736,0.035739,0.077638,0.077635,
o  ts_1580_reactant_2,0.066541,0.061354,0.133420,0.032175,0.032126,0.101245,0.101294,
o  ts_1581_reactant_1,-0.041594,0.063291,0.027083,0.033243,0.033247,-0.006160,-0.006164,
o  ts_1581_reactant_2,0.065924,0.061360,0.132814,0.032194,0.032142,0.100620,0.100672,
o  ts_1582_reactant_1,0.031731,0.070950,0.107330,0.030994,0.030995,0.076337,0.076336,
o  ts_1582_reactant_2,0.110765,0.044768,0.160186,0.028528,0.028530,0.131657,0.131656,
o  ts_1584_reactant_1,-0.029709,0.104004,0.081517,0.037575,0.037448,0.043942,0.044069,
o  ts_1584_reactant_2,0.107533,0.045002,0.157140,0.028436,0.028438,0.128704,0.128702,
o  ts_1588_reactant_1,-0.043048,0.063362,0.025675,0.033192,0.033196,-0.007516,-0.007521,
o  ts_1588_reactant_2,0.105022,0.045045,0.154652,0.028375,0.028377,0.126277,0.126276,
o  ts_1589_reactant_1,0.033670,0.070889,0.109208,0.030994,0.030995,0.078214,0.078213,
o  ts_1589_reactant_2,0.106404,0.018805,0.129467,0.028654,0.028655,0.100813,0.100812,
o  ts_1590_reactant_1,0.020410,0.098514,0.125315,0.035789,0.035224,0.089526,0.090091,
o  ts_1590_reactant_2,0.105406,0.018809,0.128471,0.028589,0.028589,0.099882,0.099882,
o  ts_1591_reactant_1,-0.029196,0.103958,0.082021,0.037699,0.037543,0.044322,0.044478,
o  ts_1591_reactant_2,0.104585,0.018851,0.127691,0.028608,0.028609,0.099083,0.099082,
o  ts_1592_reactant_1,0.090696,0.070830,0.167648,0.035240,0.035233,0.132408,0.132415,
o  ts_1592_reactant_2,0.104181,0.018799,0.127234,0.028519,0.028519,0.098715,0.098714,
o  ts_1593_reactant_1,0.029475,0.061735,0.096852,0.034400,0.034404,0.062452,0.062448,
o  ts_1593_reactant_2,0.104124,0.018829,0.127207,0.028556,0.028556,0.098652,0.098651,
o  ts_1594_reactant_1,0.048184,0.061108,0.115144,0.035741,0.035744,0.079403,0.079400,
o  ts_1594_reactant_2,0.103713,0.018810,0.126777,0.028512,0.028512,0.098265,0.098265,
o  ts_1595_reactant_1,-0.040762,0.063293,0.027913,0.033232,0.033237,-0.005319,-0.005324,
o  ts_1595_reactant_2,0.104529,0.018845,0.127628,0.028594,0.028595,0.099034,0.099034,
o  ts_1596_reactant_1,0.032830,0.070897,0.108376,0.030993,0.030994,0.077383,0.077382,
o  ts_1596_reactant_2,0.146627,0.112906,0.266363,0.036669,0.036675,0.229694,0.229688,
o  ts_1602_reactant_1,-0.042709,0.063354,0.026013,0.033204,0.033209,-0.007192,-0.007196,
o  ts_1602_reactant_2,0.145917,0.112922,0.265676,0.036688,0.036693,0.228989,0.228983,
o  ts_1603_reactant_1,0.103826,0.083224,0.191810,0.031159,0.031160,0.160651,0.160650,
o  ts_1603_reactant_2,0.116461,0.025230,0.145713,0.024881,0.024881,0.120832,0.120832,
o  ts_1604_reactant_1,0.089354,0.111151,0.206924,0.035479,0.035202,0.171446,0.171723,
o  ts_1604_reactant_2,0.115280,0.025278,0.144574,0.024857,0.024857,0.119717,0.119717,
o  ts_1605_reactant_1,0.046525,0.116175,0.170073,0.038066,0.037802,0.132007,0.132271,
o  ts_1605_reactant_2,0.114212,0.025298,0.143523,0.024830,0.024830,0.118693,0.118693,
o  ts_1606_reactant_1,0.153904,0.083229,0.243374,0.035413,0.035406,0.207961,0.207968,
o  ts_1606_reactant_2,0.115130,0.025292,0.144431,0.024847,0.024847,0.119584,0.119583,
o  ts_1607_reactant_1,0.090995,0.074263,0.170990,0.034525,0.034529,0.136465,0.136461,
o  ts_1607_reactant_2,0.114760,0.025297,0.144068,0.024842,0.024843,0.119226,0.119226,
o  ts_1608_reactant_1,0.108195,0.073633,0.187780,0.035874,0.035877,0.151906,0.151903,
o  ts_1608_reactant_2,0.115066,0.025295,0.144370,0.024847,0.024847,0.119523,0.119523,
o  ts_1609_reactant_1,0.034141,0.075748,0.115346,0.033348,0.033352,0.081998,0.081994,
o  ts_1609_reactant_2,0.114353,0.025304,0.143670,0.024835,0.024835,0.118834,0.118834,
o  ts_1610_reactant_1,0.100435,0.083307,0.188503,0.031159,0.031160,0.157344,0.157343,
o  ts_1610_reactant_2,0.099869,0.055959,0.160401,0.028700,0.028701,0.131702,0.131700,
o  ts_1611_reactant_1,0.084535,0.111266,0.202208,0.035440,0.035171,0.166768,0.167037,
o  ts_1611_reactant_2,0.099146,0.055973,0.159680,0.028667,0.028668,0.131013,0.131012,
o  ts_1612_reactant_1,0.042483,0.116317,0.166172,0.038113,0.037799,0.128059,0.128372,
o  ts_1612_reactant_2,0.098384,0.055991,0.158943,0.028682,0.028683,0.130261,0.130260,
o  ts_1613_reactant_1,0.149543,0.083344,0.239110,0.035358,0.035355,0.203752,0.203755,
o  ts_1613_reactant_2,0.099111,0.055970,0.159635,0.028653,0.028654,0.130982,0.130981,
o  ts_1614_reactant_1,0.086133,0.074392,0.166242,0.034486,0.034491,0.131756,0.131751,
o  ts_1614_reactant_2,0.098761,0.055988,0.159312,0.028670,0.028672,0.130642,0.130641,
o  ts_1615_reactant_1,0.103124,0.073743,0.182802,0.035825,0.035829,0.146976,0.146972,
o  ts_1615_reactant_2,0.099329,0.055968,0.159855,0.028657,0.028659,0.131197,0.131196,
o  ts_1616_reactant_1,0.029956,0.075876,0.111280,0.033330,0.033334,0.077950,0.077946,
o  ts_1616_reactant_2,0.098535,0.055999,0.159102,0.028684,0.028685,0.130418,0.130417,
o  ts_1617_reactant_1,0.096027,0.083396,0.184185,0.031160,0.031161,0.153026,0.153025,
o  ts_1617_reactant_2,0.072111,0.061147,0.138818,0.032288,0.032211,0.106531,0.106607,
o  ts_1618_reactant_1,0.080212,0.111323,0.197983,0.035691,0.035252,0.162292,0.162731,
o  ts_1618_reactant_2,0.071978,0.061162,0.138707,0.032320,0.032227,0.106387,0.106480,
o  ts_1619_reactant_1,0.036654,0.116513,0.160584,0.038441,0.037821,0.122143,0.122763,
o  ts_1619_reactant_2,0.071210,0.061176,0.137959,0.032347,0.032243,0.105612,0.105717,
o  ts_1620_reactant_1,0.145703,0.083407,0.235347,0.035393,0.035389,0.199954,0.199958,
o  ts_1620_reactant_2,0.071041,0.061199,0.137781,0.032226,0.032165,0.105555,0.105616,
o  ts_1621_reactant_1,0.081235,0.074494,0.161449,0.034490,0.034495,0.126959,0.126954,
o  ts_1621_reactant_2,0.071379,0.061191,0.138128,0.032285,0.032205,0.105843,0.105923,
o  ts_1622_reactant_1,0.098239,0.073844,0.178021,0.035829,0.035834,0.142192,0.142188,
o  ts_1622_reactant_2,0.071589,0.061187,0.138332,0.032279,0.032199,0.106053,0.106133,
o  ts_1623_reactant_1,0.025665,0.075948,0.107072,0.033349,0.033354,0.073723,0.073718,
o  ts_1623_reactant_2,0.070319,0.061213,0.137086,0.032269,0.032196,0.104817,0.104890,
o  ts_1624_reactant_1,0.095472,0.083416,0.183649,0.031159,0.031160,0.152490,0.152489,
o  ts_1624_reactant_2,0.114445,0.044677,0.163781,0.028558,0.028560,0.135223,0.135221,
o  ts_1625_reactant_1,0.079957,0.111391,0.197731,0.035315,0.035124,0.162416,0.162607,
o  ts_1625_reactant_2,0.112007,0.044781,0.161421,0.028486,0.028487,0.132935,0.132934,
o  ts_1626_reactant_1,0.038612,0.116415,0.162401,0.038129,0.037805,0.124272,0.124596,
o  ts_1626_reactant_2,0.111035,0.044880,0.160531,0.028469,0.028471,0.132062,0.132060,
o  ts_1630_reactant_1,0.026567,0.075970,0.107980,0.033320,0.033324,0.074660,0.074656,
o  ts_1630_reactant_2,0.111591,0.044795,0.161024,0.028505,0.028507,0.132519,0.132517,
o  ts_1631_reactant_1,0.097296,0.083375,0.185433,0.031158,0.031159,0.154275,0.154274,
o  ts_1631_reactant_2,0.110314,0.018704,0.133277,0.028693,0.028694,0.104584,0.104583,
o  ts_1632_reactant_1,0.081384,0.111340,0.199132,0.035433,0.035173,0.163699,0.163959,
o  ts_1632_reactant_2,0.108725,0.018718,0.131698,0.028620,0.028621,0.103078,0.103077,
o  ts_1633_reactant_1,0.037743,0.116542,0.161640,0.038069,0.037669,0.123570,0.123971,
o  ts_1633_reactant_2,0.108121,0.018752,0.131129,0.028633,0.028634,0.102496,0.102495,
o  ts_1634_reactant_1,0.146944,0.083392,0.236565,0.035373,0.035370,0.201192,0.201196,
o  ts_1634_reactant_2,0.108163,0.018702,0.131118,0.028570,0.028571,0.102548,0.102547,
o  ts_1635_reactant_1,0.083474,0.074459,0.163652,0.034490,0.034495,0.129161,0.129157,
o  ts_1635_reactant_2,0.107807,0.018734,0.130795,0.028597,0.028598,0.102199,0.102198,
o  ts_1636_reactant_1,0.100881,0.073799,0.180617,0.035830,0.035834,0.144786,0.144782,
o  ts_1636_reactant_2,0.107434,0.018712,0.130400,0.028554,0.028555,0.101845,0.101845,
o  ts_1637_reactant_1,0.026695,0.075939,0.108088,0.033340,0.033344,0.074748,0.074744,
o  ts_1637_reactant_2,0.108367,0.018753,0.131376,0.028643,0.028644,0.102733,0.102732,
o  ts_1645_reactant_1,0.070672,0.085894,0.161997,0.031864,0.031862,0.130134,0.130135,
o  ts_1645_reactant_2,0.113632,0.044821,0.163122,0.028600,0.028602,0.134522,0.134520,
o  ts_1646_reactant_1,0.072405,0.085819,0.163655,0.031854,0.031854,0.131800,0.131801,
o  ts_1646_reactant_2,0.147258,0.112902,0.267026,0.036741,0.036747,0.230285,0.230279,
o  ts_1647_reactant_1,0.058629,0.114005,0.179696,0.036326,0.036034,0.143371,0.143662,
o  ts_1647_reactant_2,0.098024,0.056074,0.158717,0.028796,0.028798,0.129920,0.129919,
o  ts_1648_reactant_1,0.054939,0.114089,0.176083,0.036274,0.036026,0.139809,0.140057,
o  ts_1648_reactant_2,0.068252,0.061340,0.135139,0.032234,0.032183,0.102905,0.102956,
