   GoodVibes v3.0.1 2023/07/27 15:49:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dist_non_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1519_reactant_1,-194.077503,0.090569,-193.981863,0.031592,0.031593,-194.013455,-194.013456,
o  ts_1519_reactant_2,-77.311045,0.023661,-77.283130,0.025149,0.025150,-77.308279,-77.308280,
o  ts_1520_reactant_1,-233.398394,0.117645,-233.273936,0.035881,0.035812,-233.309817,-233.309748,
o  ts_1520_reactant_2,-77.311039,0.023662,-77.283131,0.025139,0.025139,-77.308269,-77.308270,
o  ts_1521_reactant_1,-308.614229,0.122944,-308.483676,0.038110,0.037878,-308.521787,-308.521554,
o  ts_1521_reactant_2,-77.310264,0.023612,-77.282402,0.025163,0.025163,-77.307565,-77.307566,
o  ts_1522_reactant_1,-286.321241,0.089593,-286.224799,0.036688,0.036538,-286.261487,-286.261336,
o  ts_1522_reactant_2,-77.311879,0.023715,-77.283932,0.025095,0.025095,-77.309026,-77.309027,
o  ts_1523_reactant_1,-653.688446,0.081617,-653.600593,0.035412,0.035408,-653.636005,-653.636001,
o  ts_1523_reactant_2,-77.312621,0.023746,-77.284644,0.025070,0.025071,-77.309715,-77.309715,
o  ts_1524_reactant_1,-2767.692444,0.081082,-2767.604899,0.036861,0.036828,-2767.641760,-2767.641727,
o  ts_1524_reactant_2,-77.312594,0.023746,-77.284616,0.025073,0.025073,-77.309688,-77.309689,
o  ts_1525_reactant_1,-293.330325,0.082955,-293.241486,0.033986,0.033990,-293.275472,-293.275477,
o  ts_1525_reactant_2,-77.312846,0.023758,-77.284858,0.025062,0.025063,-77.309920,-77.309921,
o  ts_1526_reactant_1,-194.076906,0.090571,-193.981267,0.031586,0.031588,-194.012853,-194.012855,
o  ts_1526_reactant_2,-116.635090,0.053688,-116.576459,0.029274,0.029277,-116.605734,-116.605736,
o  ts_1527_reactant_1,-233.398257,0.117610,-233.273805,0.036018,0.035886,-233.309823,-233.309691,
o  ts_1527_reactant_2,-116.634179,0.053651,-116.575582,0.029280,0.029282,-116.604862,-116.604865,
o  ts_1528_reactant_1,-308.614168,0.122932,-308.483633,0.038099,0.037869,-308.521732,-308.521502,
o  ts_1528_reactant_2,-116.634580,0.053622,-116.576027,0.029245,0.029248,-116.605272,-116.605275,
o  ts_1529_reactant_1,-286.321199,0.089602,-286.224769,0.036619,0.036489,-286.261388,-286.261257,
o  ts_1529_reactant_2,-116.636094,0.053681,-116.577489,0.029212,0.029215,-116.606701,-116.606704,
o  ts_1530_reactant_1,-653.688557,0.081615,-653.600711,0.035403,0.035399,-653.636114,-653.636110,
o  ts_1530_reactant_2,-116.635830,0.053717,-116.577180,0.029242,0.029245,-116.606422,-116.606425,
o  ts_1531_reactant_1,-2767.692407,0.081071,-2767.604878,0.036847,0.036814,-2767.641725,-2767.641692,
o  ts_1531_reactant_2,-116.635561,0.053706,-116.576919,0.029248,0.029250,-116.606167,-116.606170,
o  ts_1532_reactant_1,-293.330052,0.082955,-293.241218,0.033980,0.033985,-293.275198,-293.275203,
o  ts_1532_reactant_2,-116.636563,0.053758,-116.577873,0.029247,0.029250,-116.607120,-116.607123,
o  ts_1533_reactant_1,-194.080838,0.090650,-193.985115,0.031594,0.031596,-194.016710,-194.016712,
