   GoodVibes v3.0.1 2023/07/26 15:37:14
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-123-4_reactant_2,-244.502245,-244.444902,0.035853,-244.461720,0.027405,0.027406,-244.489125,-244.489127,
o  ts-124-4_reactant_1,-596.284819,-596.279569,0.240138,-596.029708,0.052392,0.051134,-596.082101,-596.080842,
o  ts-124-4_reactant_2,-244.502042,-244.444725,0.035855,-244.461517,0.027402,0.027403,-244.488919,-244.488920,
o  ts-125-8_reactant_1,-788.027450,-788.021845,0.292029,-787.717292,0.061415,0.058349,-787.778707,-787.775641,
o  ts-125-8_reactant_2,-244.502597,-244.445174,0.035859,-244.462061,0.027414,0.027415,-244.489474,-244.489476,
o  ts-126-2_reactant_1,-635.582105,-635.577666,0.267390,-635.298602,0.054791,0.053284,-635.353393,-635.351886,
o  ts-126-2_reactant_2,-244.499956,-244.443069,0.035867,-244.459414,0.027414,0.027416,-244.486829,-244.486830,
o  ts-127-3_reactant_1,-616.157913,-616.154314,0.227497,-615.915438,0.052671,0.051359,-615.968109,-615.966797,
o  ts-127-3_reactant_2,-244.501983,-244.444717,0.035871,-244.461439,0.027407,0.027409,-244.488847,-244.488848,
o  ts-128-3_reactant_1,-732.646492,-732.641568,0.274492,-732.354813,0.059386,0.056487,-732.414198,-732.411299,
