   GoodVibes v3.0.1 2023/07/26 15:35:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-139-1_reactant_1,0.018461,0.023779,0.182764,0.214584,0.050781,0.049139,0.163803,0.165445,
o  ts-139-1_reactant_2,-0.092061,-0.033381,0.038786,-0.048734,0.027218,0.027219,-0.075952,-0.075953,
o  ts-140-2_reactant_1,0.023856,0.028607,0.210427,0.249418,0.056344,0.053287,0.193074,0.196131,
o  ts-140-2_reactant_2,-0.092326,-0.033636,0.038802,-0.048984,0.027216,0.027217,-0.076201,-0.076202,
o  ts-141-1_reactant_1,0.073480,0.078104,0.266571,0.357786,0.062770,0.059040,0.295016,0.298746,
o  ts-141-1_reactant_2,-0.093279,-0.034543,0.038858,-0.049883,0.027212,0.027213,-0.077095,-0.077096,
o  ts-14-1_reactant_1,-0.045991,-0.043129,0.183097,0.150536,0.049904,0.048412,0.100632,0.102124,
o  ts-14-1_reactant_2,-0.096374,-0.037410,0.039004,-0.052851,0.027182,0.027183,-0.080033,-0.080034,
o  ts-142-1_reactant_1,0.033576,0.037897,0.238140,0.288288,0.059160,0.056080,0.229128,0.232208,
o  ts-142-1_reactant_2,-0.092328,-0.033601,0.038807,-0.048981,0.027215,0.027217,-0.076196,-0.076197,
o  ts-143-1_reactant_1,-0.059808,-0.056203,0.198350,0.152696,0.052935,0.051139,0.099761,0.101556,
o  ts-143-1_reactant_2,-0.100517,-0.041298,0.039273,-0.056739,0.027157,0.027158,-0.083897,-0.083898,
o  ts-144-1_reactant_1,0.072747,0.076879,0.248948,0.338249,0.059090,0.056124,0.279160,0.282126,
o  ts-144-1_reactant_2,-0.095488,-0.036619,0.039006,-0.051954,0.027196,0.027197,-0.079150,-0.079151,
o  ts-145-2_reactant_1,0.052853,0.055888,0.286887,0.356523,0.058341,0.055592,0.298182,0.300932,
o  ts-145-2_reactant_2,-0.098612,-0.039557,0.039182,-0.054925,0.027158,0.027159,-0.082083,-0.082084,
o  ts-146-1_reactant_1,0.056119,0.059882,0.258904,0.330328,0.054978,0.052676,0.275351,0.277652,
o  ts-146-1_reactant_2,-0.098637,-0.039513,0.039151,-0.054977,0.027165,0.027166,-0.082142,-0.082143,
o  ts-147-1_reactant_1,0.056926,0.061898,0.276226,0.348862,0.054974,0.053204,0.293888,0.295659,
o  ts-147-1_reactant_2,-0.092359,-0.033607,0.038800,-0.049020,0.027217,0.027218,-0.076237,-0.076238,
o  ts-148-1_reactant_1,0.060914,0.065817,0.303765,0.383126,0.064268,0.059727,0.318858,0.323399,
o  ts-148-1_reactant_2,-0.091764,-0.033091,0.038755,-0.048472,0.027214,0.027215,-0.075685,-0.075687,
o  ts-149-1_reactant_1,0.110839,0.115693,0.359837,0.491753,0.070822,0.065478,0.420931,0.426275,
o  ts-149-1_reactant_2,-0.092377,-0.033665,0.038793,-0.049049,0.027210,0.027212,-0.076259,-0.076260,
o  ts-150-1_reactant_1,0.070814,0.075008,0.331637,0.422262,0.066094,0.062045,0.356168,0.360217,
o  ts-150-1_reactant_2,-0.092273,-0.033546,0.038799,-0.048942,0.027204,0.027205,-0.076146,-0.076147,
o  ts-151-1_reactant_1,-0.020597,-0.016976,0.292513,0.289791,0.061192,0.058069,0.228599,0.231722,
o  ts-151-1_reactant_2,-0.094667,-0.035793,0.038920,-0.051222,0.027193,0.027194,-0.078415,-0.078416,
o  ts-15-1_reactant_1,-0.138962,-0.136413,0.143869,0.016512,0.045950,0.044693,-0.029438,-0.028181,
o  ts-15-1_reactant_2,-0.102441,-0.043092,0.039381,-0.058562,0.027147,0.027148,-0.085708,-0.085709,
o  ts-152-1_reactant_1,0.114498,0.118530,0.342368,0.476668,0.066390,0.062208,0.410277,0.414459,
o  ts-152-1_reactant_2,-0.095351,-0.036468,0.038988,-0.051843,0.027183,0.027184,-0.079026,-0.079027,
o  ts-153-1_reactant_1,0.005331,0.008453,0.203473,0.221096,0.047750,0.046055,0.173346,0.175041,
o  ts-153-1_reactant_2,-0.096076,-0.037164,0.039006,-0.052550,0.027183,0.027184,-0.079734,-0.079735,
o  ts-154-1_reactant_1,0.016135,0.019118,0.175232,0.201305,0.041155,0.040988,0.160150,0.160317,
o  ts-154-1_reactant_2,-0.096676,-0.037729,0.039043,-0.053115,0.027180,0.027181,-0.080295,-0.080296,
o  ts-155-2_reactant_1,0.007600,0.012326,0.193277,0.212672,0.045843,0.044771,0.166829,0.167901,
o  ts-155-2_reactant_2,-0.094890,-0.036048,0.038934,-0.051432,0.027193,0.027194,-0.078624,-0.078625,
o  ts-156-2_reactant_1,0.013202,0.017242,0.220825,0.247537,0.050384,0.048659,0.197153,0.198878,
o  ts-156-2_reactant_2,-0.095068,-0.036213,0.038944,-0.051599,0.027191,0.027192,-0.078790,-0.078791,
o  ts-157-1_reactant_1,0.065003,0.069801,0.276624,0.357900,0.058099,0.055014,0.299801,0.302886,
o  ts-157-1_reactant_2,-0.092520,-0.033775,0.038761,-0.049218,0.027221,0.027222,-0.076439,-0.076440,
o  ts-158-2_reactant_1,0.025336,0.029274,0.248639,0.288932,0.054170,0.051860,0.234762,0.237072,
o  ts-158-2_reactant_2,-0.093429,-0.034669,0.038837,-0.050059,0.027207,0.027208,-0.077265,-0.077266,
o  ts-159-2_reactant_1,-0.070317,-0.067191,0.209076,0.151956,0.049673,0.048160,0.102283,0.103795,
o  ts-159-2_reactant_2,-0.096825,-0.037865,0.039057,-0.053251,0.027179,0.027180,-0.080430,-0.080431,
o  ts-160-1_reactant_1,0.060737,0.064324,0.259344,0.335128,0.054695,0.052283,0.280433,0.282845,
o  ts-160-1_reactant_2,-0.096212,-0.037304,0.039002,-0.052687,0.027189,0.027190,-0.079876,-0.079877,
o  ts-161-1_reactant_1,-0.056146,-0.053444,0.147678,0.100961,0.039491,0.038942,0.061470,0.062019,
o  ts-161-1_reactant_2,-0.098356,-0.039258,0.039115,-0.054727,0.027174,0.027175,-0.081901,-0.081902,
o  ts-16-1_reactant_1,-0.010294,-0.007437,0.193882,0.197085,0.050802,0.048998,0.146283,0.148087,
