   GoodVibes v3.0.1 2023/07/26 15:58:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-164-2,-0.157444,-0.111301,0.206983,0.064222,0.053268,0.051270,0.010954,0.012952,
o  ts-165-1,-0.111585,-0.068275,0.263008,0.168787,0.060170,0.057237,0.108617,0.111549,
o  ts-166-1,-0.139726,-0.092425,0.234098,0.110699,0.058127,0.055050,0.052572,0.055649,
o  ts-167-1,-0.237984,-0.189416,0.194084,-0.029007,0.054814,0.052224,-0.083820,-0.081230,
o  ts-168-1,-0.105107,-0.056772,0.244419,0.155898,0.059306,0.055955,0.096592,0.099943,
o  ts-169-2,-0.168777,-0.117258,0.151169,-0.004298,0.051320,0.048936,-0.055618,-0.053234,
o  ts-170-1,-0.160688,-0.108426,0.122742,-0.025840,0.049016,0.046660,-0.074855,-0.072500,
o  ts-171-1,-0.168674,-0.118368,0.140677,-0.014966,0.050259,0.048178,-0.065224,-0.063143,
o  ts-17-1,-0.151882,-0.103761,0.179339,0.042059,0.053904,0.051770,-0.011845,-0.009711,
o  ts-172-1,-0.162251,-0.112451,0.168290,0.020824,0.055549,0.052504,-0.034725,-0.031680,
o  ts-173-2,-0.115487,-0.065269,0.224308,0.126364,0.062852,0.058524,0.063512,0.067840,
o  ts-174-1,-0.145863,-0.098533,0.196435,0.066663,0.058009,0.054977,0.008655,0.011686,
o  ts-175-1,-0.241930,-0.190001,0.156530,-0.070855,0.055253,0.052031,-0.126109,-0.122887,
o  ts-176-1,-0.110756,-0.061304,0.206660,0.112243,0.059372,0.055817,0.052871,0.056426,
o  ts-177-2,-0.151077,-0.099285,0.150454,0.013009,0.052792,0.050287,-0.039783,-0.037278,
o  ts-178-1,-0.143479,-0.091297,0.121975,-0.009176,0.050231,0.047739,-0.059407,-0.056915,
o  ts-179-1,-0.152026,-0.100903,0.140023,0.001252,0.051396,0.049260,-0.050144,-0.048008,
o  ts-180-1,-0.145393,-0.095134,0.167696,0.037248,0.055881,0.053131,-0.018632,-0.015883,
o  ts-181-1,-0.096911,-0.047671,0.223616,0.144478,0.063947,0.059536,0.080531,0.084943,
o  ts-182-2,-0.129872,-0.082202,0.195759,0.082272,0.059647,0.056237,0.022625,0.026034,
o  ts-18-2,-0.147597,-0.096800,0.150437,0.016416,0.051754,0.049876,-0.035339,-0.033460,
o  ts-183-1,-0.224863,-0.172099,0.155769,-0.054295,0.056607,0.053204,-0.110902,-0.107499,
o  ts-184-1,-0.094459,-0.044937,0.206063,0.128161,0.059926,0.056556,0.068235,0.071605,
o  ts-185-1,-0.110640,-0.064889,0.244917,0.150611,0.057444,0.054926,0.093167,0.095685,
o  ts-186-2,-0.105350,-0.055327,0.216362,0.126143,0.055175,0.052687,0.070967,0.073456,
o  ts-187-1,-0.113584,-0.068952,0.234697,0.137142,0.056646,0.054231,0.080496,0.082911,
o  ts-188-1,-0.107218,-0.062861,0.262398,0.172918,0.061304,0.058058,0.111614,0.114860,
o  ts-189-1,-0.060543,-0.018618,0.318486,0.278279,0.067477,0.063557,0.210803,0.214722,
o  ts-190-1,-0.091881,-0.045395,0.289453,0.217041,0.065468,0.061691,0.151573,0.155351,
o  ts-191-2,-0.188560,-0.137073,0.249704,0.078910,0.062524,0.058614,0.016386,0.020297,
o  ts-19-1,-0.152707,-0.104109,0.168602,0.030362,0.053548,0.051346,-0.023185,-0.020984,
o  ts-192-1,-0.052913,-0.004951,0.299503,0.266414,0.067604,0.062814,0.198809,0.203600,
o  ts-193-1,-0.153266,-0.106004,0.161113,0.019786,0.046932,0.045452,-0.027146,-0.025666,
o  ts-194-1,-0.141418,-0.092578,0.132442,0.001746,0.044238,0.042911,-0.042492,-0.041165,
o  ts-195-1,-0.155391,-0.107614,0.151162,0.007236,0.045587,0.044292,-0.038351,-0.037056,
o  ts-196-1,-0.148897,-0.101777,0.178667,0.042973,0.050367,0.048332,-0.007393,-0.005358,
o  ts-197-1,-0.103218,-0.059156,0.234673,0.147309,0.056884,0.054164,0.090425,0.093145,
o  ts-198-1,-0.134525,-0.085540,0.205633,0.086123,0.055433,0.052502,0.030691,0.033622,
o  ts-199-1,-0.228802,-0.180296,0.166097,-0.049470,0.050829,0.048674,-0.100299,-0.098144,
o  ts-200-1,-0.099389,-0.050086,0.216104,0.131920,0.056484,0.053268,0.075436,0.078652,
o  ts-201-1,-0.167736,-0.117154,0.179711,0.026588,0.053630,0.051350,-0.027041,-0.024762,
o  ts-20-1,-0.145977,-0.098377,0.196253,0.066454,0.058163,0.055251,0.008291,0.011203,
o  ts-202-1,-0.160036,-0.112185,0.151455,0.004699,0.050335,0.048654,-0.045637,-0.043955,
o  ts-203-2,-0.164405,-0.119170,0.169651,0.019302,0.051558,0.049854,-0.032256,-0.030552,
o  ts-204-1,-0.158634,-0.113162,0.197174,0.054424,0.056820,0.054080,-0.002397,0.000344,
o  ts-205-1,-0.111536,-0.068073,0.252674,0.159951,0.064406,0.060574,0.095545,0.099377,
o  ts-206-1,-0.146927,-0.099397,0.224719,0.095230,0.060114,0.057308,0.035115,0.037921,
o  ts-207-1,-0.244459,-0.192877,0.185049,-0.043533,0.057120,0.054430,-0.100653,-0.097964,
o  ts-208-1,-0.110503,-0.062390,0.235201,0.142295,0.061313,0.058042,0.080983,0.084254,
o  ts-209-1,-0.172864,-0.120251,0.141798,-0.016535,0.054646,0.051807,-0.071181,-0.068342,
o  ts-210-1,-0.165331,-0.112013,0.113475,-0.038628,0.051699,0.049211,-0.090327,-0.087839,
o  ts-211-2,-0.173411,-0.122026,0.131530,-0.027783,0.052736,0.050532,-0.080519,-0.078315,
o  ts-21-1,-0.098508,-0.052480,0.252194,0.172656,0.065995,0.061633,0.106661,0.111023,
o  ts-212-1,-0.167015,-0.116231,0.159230,0.008004,0.057272,0.054392,-0.049268,-0.046389,
o  ts-213-1,-0.115884,-0.072721,0.215982,0.118158,0.062850,0.059290,0.055308,0.058869,
o  ts-214-1,-0.152120,-0.103601,0.187183,0.052204,0.059912,0.057110,-0.007708,-0.004905,
o  ts-215-2,-0.244260,-0.190109,0.147251,-0.081313,0.058227,0.054723,-0.139540,-0.136037,
o  ts-216-1,-0.115181,-0.065475,0.197637,0.099794,0.061063,0.057766,0.038732,0.042028,
o  ts-217-1,-0.154953,-0.103242,0.141322,0.001077,0.055290,0.052660,-0.054213,-0.051584,
o  ts-218-2,-0.148760,-0.094851,0.112697,-0.022526,0.053362,0.050506,-0.075889,-0.073032,
o  ts-219-1,-0.155493,-0.104730,0.130561,-0.010355,0.055307,0.052401,-0.065662,-0.062756,
o  ts-2-1,-0.157040,-0.110626,0.189457,0.045738,0.049395,0.048027,-0.003657,-0.002289,
o  ts-220-1,-0.149596,-0.099234,0.158446,0.025022,0.059130,0.055828,-0.034108,-0.030806,
o  ts-221-1,-0.101669,-0.057869,0.215242,0.131939,0.064610,0.060639,0.067328,0.071300,
o  ts-22-1,-0.131967,-0.085512,0.224244,0.109872,0.061028,0.058108,0.048845,0.051764,
o  ts-222-1,-0.136430,-0.087468,0.186460,0.067501,0.061516,0.058357,0.005985,0.009145,
o  ts-223-1,-0.226942,-0.172539,0.146561,-0.064365,0.059859,0.056074,-0.124224,-0.120439,
o  ts-224-1,-0.100394,-0.049204,0.196989,0.114209,0.062152,0.058766,0.052058,0.055443,
o  ts-225-1,-0.114997,-0.064802,0.234563,0.137475,0.062614,0.058754,0.074861,0.078720,
o  ts-226-1,-0.106600,-0.058179,0.206945,0.116641,0.058189,0.055370,0.058452,0.061271,
o  ts-227-1,-0.114742,-0.069645,0.224999,0.127414,0.059175,0.056567,0.068239,0.070847,
o  ts-228-2,-0.108116,-0.063504,0.252437,0.163265,0.063819,0.060486,0.099446,0.102779,
o  ts-229-2,-0.060502,-0.018133,0.308285,0.269514,0.071387,0.066599,0.198127,0.202914,
o  ts-230-1,-0.097461,-0.050694,0.280027,0.203121,0.067871,0.063949,0.135250,0.139172,
o  ts-231-2,-0.188656,-0.138304,0.240441,0.070630,0.064172,0.060684,0.006458,0.009946,
o  ts-23-1,-0.225456,-0.175339,0.184704,-0.024958,0.057138,0.054617,-0.082096,-0.079575,
o  ts-232-2,-0.057649,-0.009632,0.290450,0.253523,0.069467,0.064730,0.184056,0.188793,
o  ts-233-1,-0.161845,-0.111413,0.151337,0.002754,0.050625,0.048667,-0.047871,-0.045913,
o  ts-234-1,-0.151172,-0.103146,0.123182,-0.016232,0.047000,0.045542,-0.063232,-0.061774,
o  ts-235-2,-0.158350,-0.112242,0.141573,-0.004344,0.048007,0.046643,-0.052351,-0.050987,
o  ts-236-1,-0.152287,-0.106129,0.169107,0.030979,0.052277,0.050442,-0.021298,-0.019463,
o  ts-237-1,-0.102157,-0.057337,0.224992,0.139810,0.059970,0.056746,0.079840,0.083064,
o  ts-238-1,-0.142671,-0.093581,0.196372,0.069774,0.057949,0.054877,0.011826,0.014897,
o  ts-239-1,-0.238983,-0.186593,0.156797,-0.067830,0.053637,0.051333,-0.121467,-0.119164,
o  ts-240-1,-0.107972,-0.057705,0.206992,0.115191,0.058517,0.055339,0.056673,0.059852,
o  ts-241-1,-0.160041,-0.112382,0.142220,-0.003541,0.053168,0.050995,-0.056708,-0.054536,
o  ts-24-1,-0.096479,-0.049286,0.234639,0.155925,0.062234,0.058716,0.093691,0.097209,
o  ts-242-1,-0.157522,-0.108804,0.113873,-0.030602,0.050541,0.048744,-0.081143,-0.079346,
o  ts-243-2,-0.167486,-0.120334,0.132273,-0.021463,0.051391,0.049756,-0.072854,-0.071219,
o  ts-244-1,-0.160453,-0.114106,0.159660,0.014774,0.056046,0.053796,-0.041272,-0.039021,
o  ts-245-1,-0.112835,-0.069113,0.215394,0.121007,0.064217,0.060338,0.056790,0.060669,
