   GoodVibes v3.0.1 2023/07/27 11:50:08
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  gs_di_1575,0.004527,0.072014,0.081198,0.030997,0.030998,0.050201,0.050200,
o  gs_di_1576,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1577,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1578,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1579,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1580,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1581,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1582,0.004527,0.072014,0.081198,0.030997,0.030998,0.050201,0.050200,
o  gs_di_1584,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1588,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1589,0.004527,0.072014,0.081198,0.030997,0.030998,0.050201,0.050200,
o  gs_di_1590,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1591,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1592,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1593,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1594,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1595,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1596,0.004527,0.072014,0.081198,0.030997,0.030998,0.050201,0.050200,
o  gs_di_1602,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1603,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1604,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1605,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1606,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1607,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1608,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1609,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1610,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1611,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1612,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1613,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1614,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1615,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1616,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1617,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1618,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1619,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1620,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1621,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1622,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1623,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1624,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1625,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1626,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1630,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1631,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1632,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1633,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1634,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1635,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1636,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1637,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1645,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1646,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1647,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1648,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1649,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1650,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1651,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1652,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1653,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1654,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1655,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1656,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1657,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1658,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1659,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1660,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1661,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1662,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1663,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1664,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1665,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1666,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1667,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1668,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1669,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1670,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1671,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1672,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1673,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1674,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1675,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1676,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1677,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1678,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1679,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1680,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1681,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1682,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1683,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1684,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1685,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1686,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1687,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1688,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1689,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1690,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1691,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1692,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1693,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1694,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1695,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1696,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1697,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1698,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1699,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1700,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1701,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1702,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1703,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1704,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1705,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1706,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1707,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1708,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1709,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1710,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1711,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1712,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1713,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1714,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1715,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1716,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1717,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1718,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1719,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1720,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1721,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1722,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1723,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1724,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1725,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1726,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1727,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1728,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1729,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1730,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1731,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1732,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1733,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1734,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1735,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1736,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1737,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1738,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1739,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1740,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1741,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1742,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1743,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1744,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1745,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1746,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1747,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1748,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1749,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1750,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1751,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1752,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1753,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1754,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1755,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1756,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1757,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1758,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1759,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1760,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1761,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
