   GoodVibes v3.0.1 2024/04/16 15:40:52
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts_150_am1_reopt_2_reactant_2,-0.398891,-0.305025,0.122766,-0.266133,0.041844,0.041240,-0.307977,-0.307373,
o  ts_151_am1_reopt_reactant_1,-0.008483,-0.000673,0.292195,0.301509,0.061050,0.057911,0.240459,0.243598,
o  ts_151_am1_reopt_reactant_2,-0.401308,-0.306361,0.122782,-0.268466,0.042123,0.041454,-0.310589,-0.309920,
o  ts_152_am1_reopt_2_reactant_1,0.121992,0.131647,0.341896,0.482887,0.063926,0.060283,0.418961,0.422604,
o  ts_152_am1_reopt_2_reactant_2,-0.401370,-0.307464,0.122844,-0.268538,0.041827,0.041244,-0.310365,-0.309782,
o  ts_153_am1_reopt_2_reactant_1,0.019676,0.026846,0.202930,0.234845,0.047648,0.046033,0.187198,0.188812,
o  ts_153_am1_reopt_2_reactant_2,-0.399150,-0.303869,0.122668,-0.266460,0.041959,0.041346,-0.308419,-0.307806,
o  ts_154_am1_reopt_reactant_1,0.022796,0.030049,0.174919,0.207625,0.041187,0.040972,0.166438,0.166652,
o  ts_154_am1_reopt_reactant_2,-0.401113,-0.305987,0.122768,-0.268343,0.041849,0.041289,-0.310193,-0.309633,
o  ts_155_am1_reopt_2_reactant_1,0.014188,0.025205,0.192642,0.218724,0.046365,0.045114,0.172360,0.173611,
o  ts_155_am1_reopt_2_reactant_2,-0.397123,-0.301740,0.122570,-0.264489,0.042186,0.041461,-0.306675,-0.305950,
o  ts_156_am1_reopt_reactant_1,0.020831,0.030641,0.220104,0.254582,0.050888,0.049025,0.203694,0.205558,
o  ts_156_am1_reopt_reactant_2,-0.397681,-0.302297,0.122624,-0.265021,0.042080,0.041390,-0.307101,-0.306411,
o  ts_157_am1_reopt_3_reactant_1,0.069576,0.079928,0.275994,0.362044,0.058983,0.055545,0.303061,0.306499,
o  ts_157_am1_reopt_3_reactant_2,-0.398843,-0.303416,0.122672,-0.266123,0.042133,0.041427,-0.308255,-0.307550,
o  ts_158_am1_reopt_reactant_1,0.035185,0.044130,0.248600,0.298572,0.053794,0.051483,0.244778,0.247089,
o  ts_158_am1_reopt_reactant_2,-0.398405,-0.304286,0.122652,-0.265690,0.042136,0.041427,-0.307826,-0.307118,
o  ts_159_am1_reopt_2_reactant_1,-0.056896,-0.048883,0.208706,0.165004,0.049860,0.048119,0.115145,0.116886,
o  ts_159_am1_reopt_2_reactant_2,-0.401144,-0.306084,0.122758,-0.268369,0.041911,0.041334,-0.310279,-0.309703,
o  ts_15_am1_reopt_2_reactant_1,-0.125808,-0.120215,0.143731,0.029371,0.045327,0.044326,-0.015956,-0.014955,
o  ts_15_am1_reopt_2_reactant_2,-0.406412,-0.311731,0.123037,-0.273364,0.041963,0.041341,-0.315326,-0.314705,
