   GoodVibes v3.0.1 2024/01/08 10:14:56
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc water_SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts_158_am1_reopt,-0.362644,-0.277728,0.373879,0.036647,0.079113,0.073678,-0.042466,-0.037031,
o  ts_159_am1_reopt_2,-0.457654,-0.373546,0.333985,-0.099867,0.075621,0.070577,-0.175489,-0.170444,
o  ts_15_am1_reopt_2,-0.533840,-0.450936,0.269546,-0.242553,0.070530,0.066394,-0.313082,-0.308946,
o  ts_160_am1_reopt,-0.328509,-0.246550,0.384339,0.081495,0.080149,0.074307,0.001346,0.007187,
o  ts_161_am1_reopt,-0.456371,-0.371125,0.274151,-0.162821,0.063777,0.061044,-0.226598,-0.223866,
o  ts_162_am1_reopt,-0.447968,-0.363541,0.245310,-0.184288,0.062253,0.059182,-0.246542,-0.243470,
o  ts_163_am1_reopt_2,-0.460043,-0.374701,0.263338,-0.177373,0.064574,0.061160,-0.241947,-0.238533,
o  ts_164_am1_reopt,-0.449472,-0.365808,0.291191,-0.137345,0.068108,0.064431,-0.205454,-0.201776,
o  ts_165_am1_reopt_2,-0.403467,-0.324573,0.346898,-0.032703,0.075927,0.070732,-0.108630,-0.103435,
o  ts_166_am1_reopt,-0.432202,-0.348669,0.318533,-0.091289,0.072110,0.067702,-0.163400,-0.158991,
o  ts_167_am1_reopt,-0.532362,-0.449089,0.278832,-0.232681,0.068214,0.064590,-0.300894,-0.297271,
o  ts_168_am1_reopt,-0.398488,-0.317180,0.328400,-0.047084,0.074146,0.069191,-0.121230,-0.116275,
o  ts_169_am1_reopt_2,-0.460206,-0.377928,0.235619,-0.205124,0.065443,0.061861,-0.270567,-0.266985,
o  ts_16_am1_reopt,-0.404862,-0.323889,0.319047,-0.061872,0.076773,0.071168,-0.138646,-0.133041,
o  ts_170_am1_reopt,-0.452021,-0.370239,0.207469,-0.226524,0.062086,0.058979,-0.288610,-0.285503,
o  ts_171_am1_reopt,-0.462937,-0.376814,0.225519,-0.218311,0.064057,0.060732,-0.282368,-0.279043,
o  ts_172_am1_reopt_2,-0.456395,-0.369822,0.253736,-0.182073,0.068158,0.064183,-0.250231,-0.246255,
o  ts_173_am1_reopt,-0.409884,-0.328121,0.309510,-0.076906,0.075548,0.070240,-0.152453,-0.147145,
o  ts_174_am1_reopt,-0.439261,-0.357007,0.280391,-0.136507,0.072793,0.067999,-0.209300,-0.204506,
o  ts_175_am1_reopt,-0.536346,-0.449839,0.241548,-0.274372,0.067400,0.063818,-0.341772,-0.338191,
o  ts_176_am1_reopt,-0.405739,-0.324058,0.290869,-0.092242,0.073784,0.068701,-0.166026,-0.160943,
o  ts_177_am1_reopt,-0.444443,-0.360059,0.235399,-0.189468,0.065779,0.062313,-0.255247,-0.251781,
o  ts_178_am1_reopt,-0.437174,-0.353366,0.207218,-0.211793,0.062478,0.059550,-0.274271,-0.271343,
o  ts_179_am1_reopt_2,-0.447233,-0.361898,0.224555,-0.203254,0.066064,0.062204,-0.269317,-0.265458,
o  ts_17_am1_reopt,-0.440034,-0.357435,0.263713,-0.155509,0.068570,0.064559,-0.224079,-0.220068,
o  ts_180_am1_reopt_2,-0.440031,-0.353745,0.253130,-0.166086,0.069467,0.065210,-0.235553,-0.231296,
o  ts_181_am1_reopt,-0.394881,-0.312145,0.308934,-0.062260,0.076662,0.071140,-0.138922,-0.133400,
o  ts_182_am1_reopt_2,-0.423963,-0.340665,0.279818,-0.121529,0.074347,0.069127,-0.195876,-0.190657,
o  ts_183_am1_reopt_2,-0.519811,-0.433456,0.241004,-0.258203,0.068406,0.064651,-0.326609,-0.322855,
o  ts_184_am1_reopt_2,-0.390877,-0.308551,0.290273,-0.077771,0.074735,0.069476,-0.152506,-0.147247,
o  ts_185_am1_reopt,-0.400239,-0.320627,0.327783,-0.049167,0.075827,0.070231,-0.124994,-0.119398,
