   GoodVibes v3.0.1 2023/07/31 16:50:05
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_exo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_exo_1184,0.121165,0.244924,0.379105,0.052329,0.050729,0.326777,0.328376,
o  ts_exo_1185,0.065836,0.188599,0.264853,0.044786,0.044434,0.220067,0.220419,
o  ts_exo_1186,0.055111,0.216777,0.283731,0.048148,0.047479,0.235583,0.236253,
o  ts_exo_1187,-0.019278,0.222128,0.215859,0.051779,0.050268,0.164080,0.165592,
o  ts_exo_1188,0.057034,0.206097,0.274857,0.048058,0.047078,0.226799,0.227779,
o  ts_exo_1189,0.050383,0.179266,0.241152,0.048389,0.047366,0.192764,0.193786,
o  ts_exo_1190,0.111419,0.272453,0.398685,0.056436,0.054387,0.342248,0.344298,
o  ts_exo_1191,0.014337,0.193824,0.219711,0.047910,0.047171,0.171800,0.172540,
o  ts_exo_1192,0.003302,0.222216,0.238349,0.050602,0.049817,0.187746,0.188532,
o  ts_exo_1193,-0.070948,0.227460,0.170549,0.054150,0.052597,0.116399,0.117952,
o  ts_exo_1194,0.002867,0.211956,0.227246,0.049560,0.048752,0.177686,0.178494,
o  ts_exo_1195,-0.002034,0.184626,0.195152,0.051076,0.049800,0.144076,0.145352,
o  ts_exo_1196,0.059531,0.277767,0.353197,0.059233,0.056812,0.293963,0.296385,
o  ts_exo_1197,0.128899,0.160577,0.299889,0.045268,0.044858,0.254621,0.255031,
o  ts_exo_1198,0.118129,0.188702,0.318710,0.048814,0.047943,0.269896,0.270767,
o  ts_exo_1199,0.044979,0.194199,0.252119,0.051809,0.050430,0.200311,0.201689,
o  ts_exo_1200,0.116123,0.178329,0.305965,0.047544,0.046959,0.258421,0.259007,
o  ts_exo_1201,0.116217,0.151566,0.279160,0.048571,0.047413,0.230588,0.231747,
o  ts_exo_1202,0.175090,0.244528,0.434383,0.056660,0.054510,0.377722,0.379872,
o  ts_exo_1203,0.067056,0.151670,0.228603,0.044230,0.043911,0.184373,0.184693,
o  ts_exo_1204,0.056197,0.179713,0.247307,0.047930,0.047150,0.199377,0.200157,
o  ts_exo_1205,-0.017120,0.185274,0.180558,0.050632,0.049479,0.129926,0.131079,
o  ts_exo_1206,0.054907,0.169288,0.235260,0.046834,0.046229,0.188426,0.189030,
o  ts_exo_1207,0.052711,0.142558,0.206154,0.047569,0.046558,0.158584,0.159595,
o  ts_exo_1208,0.112659,0.235585,0.362487,0.055570,0.053578,0.306917,0.308909,
o  ts_exo_1209,0.086843,0.151022,0.247972,0.045485,0.045081,0.202487,0.202891,
o  ts_exo_1210,0.076251,0.178973,0.266910,0.049400,0.048394,0.217509,0.218516,
o  ts_exo_1211,0.003167,0.184581,0.200407,0.051883,0.050607,0.148525,0.149801,
o  ts_exo_1212,0.074994,0.168646,0.254948,0.048136,0.047394,0.206813,0.207555,
o  ts_exo_1213,0.072877,0.141857,0.225877,0.048844,0.047678,0.177032,0.178198,
o  ts_exo_1214,0.132698,0.234891,0.382105,0.056973,0.054687,0.325131,0.327417,
o  ts_exo_1215,0.003342,0.153305,0.166225,0.043221,0.042952,0.123003,0.123273,
o  ts_exo_1216,-0.008034,0.181502,0.184461,0.046568,0.045993,0.137893,0.138469,
o  ts_exo_1217,-0.081026,0.186971,0.118012,0.049635,0.048515,0.068377,0.069497,
o  ts_exo_1218,-0.009289,0.171105,0.172460,0.045558,0.045010,0.126902,0.127450,
o  ts_exo_1219,-0.010661,0.144271,0.144141,0.046475,0.045569,0.097666,0.098573,
o  ts_exo_1220,0.048633,0.237284,0.299800,0.054372,0.052597,0.245429,0.247203,
o  ts_exo_1221,0.021520,0.136968,0.167092,0.041162,0.040826,0.125930,0.126265,
o  ts_exo_1222,0.012059,0.165301,0.187276,0.044253,0.043639,0.143023,0.143638,
o  ts_exo_1223,-0.061685,0.170699,0.120080,0.047683,0.046500,0.072398,0.073581,
o  ts_exo_1224,0.009063,0.154806,0.173524,0.043483,0.042913,0.130041,0.130611,
o  ts_exo_1225,0.008948,0.127958,0.146406,0.044444,0.043467,0.101963,0.102939,
o  ts_exo_1226,0.068556,0.220902,0.302458,0.053225,0.051084,0.249233,0.251374,
o  ts_exo_1227,0.012531,0.164609,0.187400,0.044837,0.044267,0.142562,0.143132,
o  ts_exo_1228,0.003282,0.192947,0.207806,0.047919,0.047028,0.159886,0.160778,
o  ts_exo_1229,-0.070682,0.198369,0.140395,0.051141,0.049783,0.089254,0.090612,
o  ts_exo_1230,0.000883,0.182433,0.194639,0.047086,0.046352,0.147553,0.148287,
o  ts_exo_1231,-0.001017,0.155476,0.165653,0.048036,0.046863,0.117618,0.118791,
o  ts_exo_1232,0.060488,0.248482,0.323696,0.056734,0.054441,0.266962,0.269255,
o  ts_exo_1233,-0.037141,0.169725,0.143954,0.047493,0.046889,0.096461,0.097065,
o  ts_exo_1234,-0.049522,0.197942,0.161229,0.050957,0.049923,0.110272,0.111306,
o  ts_exo_1235,-0.123086,0.203437,0.094226,0.054020,0.052432,0.040206,0.041793,
o  ts_exo_1236,-0.050228,0.187753,0.149831,0.049470,0.048643,0.100360,0.101188,
o  ts_exo_1237,-0.054651,0.160495,0.118305,0.051213,0.049778,0.067091,0.068526,
o  ts_exo_1238,0.006307,0.253661,0.275684,0.058744,0.056523,0.216940,0.219161,
o  ts_exo_1239,0.086637,0.136630,0.233547,0.045392,0.044739,0.188155,0.188808,
o  ts_exo_1240,0.076259,0.164779,0.252796,0.048965,0.047867,0.203831,0.204929,
o  ts_exo_1241,0.002552,0.170295,0.185649,0.051951,0.050322,0.133698,0.135327,
o  ts_exo_1242,0.074763,0.154312,0.240497,0.047750,0.046929,0.192747,0.193568,
o  ts_exo_1243,0.073448,0.127670,0.212352,0.048665,0.047300,0.163688,0.165052,
o  ts_exo_1244,0.132167,0.220597,0.367433,0.057110,0.054625,0.310324,0.312808,
o  ts_exo_1245,0.022433,0.127488,0.159707,0.044410,0.043874,0.115297,0.115833,
o  ts_exo_1246,0.013062,0.155858,0.180019,0.047373,0.046609,0.132646,0.133411,
o  ts_exo_1247,-0.060509,0.161263,0.113031,0.050771,0.049373,0.062260,0.063658,
o  ts_exo_1248,0.009143,0.145419,0.165337,0.046461,0.045736,0.118875,0.119601,
o  ts_exo_1249,0.009023,0.118561,0.138334,0.047644,0.046443,0.090690,0.091890,
o  ts_exo_1250,0.069708,0.211542,0.295388,0.055836,0.053586,0.239552,0.241802,
o  ts_exo_1251,0.043463,0.126838,0.180328,0.045689,0.045070,0.134640,0.135258,
o  ts_exo_1252,0.034115,0.155197,0.200666,0.048633,0.047785,0.152033,0.152881,
o  ts_exo_1253,-0.039191,0.160602,0.133943,0.052021,0.050505,0.081921,0.083438,
o  ts_exo_1254,0.030271,0.144817,0.186092,0.047651,0.046871,0.138440,0.139221,
o  ts_exo_1255,0.031525,0.117873,0.160345,0.048763,0.047472,0.111582,0.112873,
o  ts_exo_1256,0.090699,0.210888,0.315989,0.057188,0.054677,0.258801,0.261311,
o  ts_exo_1257,-0.049441,0.129055,0.089135,0.043519,0.042953,0.045615,0.046181,
o  ts_exo_1258,-0.059311,0.157367,0.108985,0.046844,0.045991,0.062141,0.062994,
o  ts_exo_1259,-0.132885,0.162860,0.041961,0.049883,0.048495,-0.007922,-0.006534,
o  ts_exo_1260,-0.063216,0.147018,0.094267,0.045403,0.044739,0.048865,0.049529,
o  ts_exo_1261,-0.062510,0.120185,0.068117,0.046653,0.045530,0.021463,0.022587,
o  ts_exo_1262,-0.002878,0.213142,0.224123,0.055121,0.052873,0.169003,0.171250,
o  ts_exo_1264,0.070570,0.177935,0.258640,0.044811,0.044071,0.213829,0.214569,
