   GoodVibes v3.0.1 2023/07/27 10:06:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1619,0.105659,0.180781,0.298609,0.049385,0.048523,0.249224,0.250086,
o  ts_1620,0.217398,0.147553,0.376126,0.047529,0.046591,0.328597,0.329535,
o  ts_1621,0.153229,0.138627,0.302477,0.046369,0.045644,0.256108,0.256832,
o  ts_1622,0.172850,0.137851,0.321641,0.047938,0.047017,0.273703,0.274624,
o  ts_1623,0.093534,0.140215,0.244017,0.045122,0.044511,0.198895,0.199506,
o  ts_1624,0.209378,0.132410,0.349856,0.039052,0.039016,0.310805,0.310840,
o  ts_1625,0.198316,0.159799,0.368062,0.043451,0.043183,0.324611,0.324879,
o  ts_1626,0.149097,0.165099,0.325113,0.046379,0.045630,0.278734,0.279483,
o  ts_1630,0.137811,0.124582,0.271289,0.041153,0.041077,0.230136,0.230212,
o  ts_1631,0.205054,0.106264,0.318985,0.039131,0.039059,0.279855,0.279926,
o  ts_1632,0.193315,0.133869,0.336751,0.044133,0.043220,0.292618,0.293531,
o  ts_1633,0.148024,0.139130,0.297636,0.046289,0.045357,0.251346,0.252278,
o  ts_1634,0.258774,0.106007,0.374150,0.043523,0.043064,0.330627,0.331086,
o  ts_1635,0.193649,0.097105,0.299555,0.042337,0.042058,0.257218,0.257498,
o  ts_1636,0.212301,0.096386,0.317780,0.043786,0.043342,0.273994,0.274438,
o  ts_1637,0.135639,0.098678,0.242764,0.041106,0.040942,0.201658,0.201822,
o  ts_1645,0.181397,0.135196,0.325007,0.039516,0.039362,0.285492,0.285645,
o  ts_1646,0.220370,0.201489,0.433380,0.048574,0.047141,0.384806,0.386239,
o  ts_1647,0.156428,0.174117,0.340625,0.043396,0.043163,0.297229,0.297462,
o  ts_1648,0.119333,0.178830,0.309547,0.047154,0.046401,0.262393,0.263146,
o  ts_1649,0.169179,0.163475,0.342591,0.043069,0.042832,0.299522,0.299759,
o  ts_1650,0.163237,0.137140,0.309951,0.043192,0.042855,0.266760,0.267097,
o  ts_1651,0.208152,0.229610,0.450892,0.052350,0.050633,0.398542,0.400259,
o  ts_1652,0.101791,0.179459,0.292388,0.046418,0.045823,0.245970,0.246565,
o  ts_1653,0.064599,0.184200,0.261246,0.050160,0.049041,0.211086,0.212205,
o  ts_1654,0.114184,0.168802,0.293981,0.046047,0.045500,0.247934,0.248481,
o  ts_1655,0.108465,0.142495,0.261596,0.046192,0.045499,0.215404,0.216096,
o  ts_1656,0.153705,0.234906,0.402833,0.055464,0.053252,0.347369,0.349581,
o  ts_1657,0.227736,0.117643,0.353874,0.040159,0.040102,0.313715,0.313772,
o  ts_1658,0.216006,0.145982,0.372019,0.043799,0.043568,0.328220,0.328451,
o  ts_1659,0.179299,0.150677,0.341301,0.047479,0.046730,0.293821,0.294571,
o  ts_1660,0.229331,0.135260,0.374498,0.043520,0.043275,0.330978,0.331223,
o  ts_1661,0.224125,0.109022,0.342664,0.043540,0.043197,0.299123,0.299467,
