   GoodVibes v3.0.1 2023/07/31 16:47:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_endo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_endo_1215,0.004552,0.153175,0.167422,0.043697,0.043213,0.123725,0.124209,
o  ts_endo_1216,-0.006725,0.181430,0.185787,0.046941,0.046178,0.138845,0.139609,
o  ts_endo_1217,-0.079720,0.186897,0.119337,0.050087,0.048734,0.069250,0.070603,
o  ts_endo_1218,-0.008097,0.170934,0.173602,0.045961,0.045252,0.127641,0.128350,
o  ts_endo_1219,-0.010049,0.144189,0.144763,0.046909,0.045790,0.097854,0.098973,
o  ts_endo_1220,0.049754,0.237260,0.300963,0.054660,0.052800,0.246303,0.248163,
o  ts_endo_1221,0.022662,0.136879,0.168181,0.041251,0.040888,0.126930,0.127293,
o  ts_endo_1222,0.013693,0.165260,0.188875,0.044186,0.043636,0.144689,0.145240,
o  ts_endo_1223,-0.060599,0.170571,0.121099,0.047782,0.046582,0.073317,0.074516,
o  ts_endo_1224,0.012077,0.154607,0.176471,0.043858,0.043186,0.132613,0.133285,
o  ts_endo_1225,0.009167,0.127831,0.146554,0.044490,0.043516,0.102064,0.103038,
o  ts_endo_1226,0.071238,0.220733,0.304953,0.053006,0.051004,0.251947,0.253949,
o  ts_endo_1227,0.012092,0.164468,0.186834,0.044684,0.044312,0.142150,0.142522,
o  ts_endo_1228,0.002909,0.192856,0.207322,0.047586,0.047020,0.159736,0.160302,
o  ts_endo_1229,-0.071327,0.198149,0.139598,0.051188,0.049952,0.088410,0.089646,
o  ts_endo_1230,0.001719,0.181807,0.195255,0.048517,0.047410,0.146738,0.147845,
o  ts_endo_1232,0.059139,0.248199,0.322217,0.057721,0.054932,0.264497,0.267285,
o  ts_endo_1233,-0.036240,0.169541,0.144869,0.048599,0.047405,0.096270,0.097464,
o  ts_endo_1234,-0.047251,0.197704,0.163451,0.052016,0.050435,0.111435,0.113016,
o  ts_endo_1235,-0.122749,0.203327,0.094491,0.054142,0.052538,0.040349,0.041953,
o  ts_endo_1236,-0.049502,0.187341,0.150443,0.050791,0.049418,0.099651,0.101025,
o  ts_endo_1238,0.008126,0.253486,0.277463,0.059508,0.056912,0.217955,0.220552,
o  ts_endo_1239,0.085059,0.136503,0.231904,0.045605,0.044913,0.186300,0.186992,
o  ts_endo_1240,0.073798,0.164597,0.250210,0.049210,0.048060,0.201000,0.202149,
o  ts_endo_1241,0.000724,0.170213,0.183747,0.052017,0.050411,0.131729,0.133335,
o  ts_endo_1242,0.072796,0.153883,0.238372,0.049116,0.047667,0.189256,0.190705,
o  ts_endo_1243,0.071367,0.127562,0.210186,0.048843,0.047421,0.161342,0.162765,
o  ts_endo_1244,0.129799,0.220497,0.364981,0.057267,0.054726,0.307714,0.310255,
o  ts_endo_1245,0.022264,0.127462,0.159565,0.044642,0.044033,0.114923,0.115531,
o  ts_endo_1246,0.011133,0.155582,0.178021,0.048213,0.047159,0.129809,0.130863,
o  ts_endo_1247,-0.062295,0.161170,0.111184,0.051036,0.049520,0.060148,0.061664,
o  ts_endo_1248,0.011545,0.145291,0.167717,0.046827,0.045972,0.120890,0.121745,
o  ts_endo_1249,0.008620,0.118443,0.137781,0.047721,0.046420,0.090060,0.091361,
o  ts_endo_1250,0.067042,0.211436,0.292673,0.056341,0.053849,0.236332,0.238825,
o  ts_endo_1251,0.043013,0.126809,0.179905,0.045968,0.045261,0.133937,0.134644,
o  ts_endo_1252,0.032113,0.154864,0.198574,0.049725,0.048441,0.148849,0.150134,
o  ts_endo_1253,-0.041141,0.160490,0.131917,0.052375,0.050714,0.079542,0.081203,
o  ts_endo_1254,0.032489,0.144675,0.188269,0.048061,0.047106,0.140207,0.141163,
o  ts_endo_1255,0.029897,0.117754,0.158625,0.049035,0.047605,0.109591,0.111021,
o  ts_endo_1256,0.087808,0.210751,0.313019,0.057668,0.054954,0.255351,0.258065,
o  ts_endo_1257,-0.050312,0.129089,0.088308,0.043507,0.042988,0.044801,0.045319,
o  ts_endo_1258,-0.061754,0.157226,0.106447,0.047046,0.046094,0.059401,0.060353,
o  ts_endo_1259,-0.135005,0.162788,0.039783,0.049959,0.048554,-0.010177,-0.008771,
o  ts_endo_1260,-0.060714,0.146803,0.096720,0.045877,0.045113,0.050842,0.051606,
o  ts_endo_1261,-0.063702,0.120056,0.066766,0.046657,0.045463,0.020109,0.021303,
o  ts_endo_1262,-0.005470,0.213083,0.221484,0.055246,0.052932,0.166237,0.168551,
o  ts_endo_1266,0.077787,0.167482,0.255068,0.043727,0.043142,0.211341,0.211926,
o  ts_endo_1284,0.133495,0.166744,0.311998,0.048878,0.047655,0.263120,0.264343,
o  ts_endo_1290,0.068759,0.158405,0.238035,0.046694,0.045890,0.191341,0.192144,
o  ts_endo_1296,0.088466,0.157741,0.257324,0.047983,0.047063,0.209341,0.210262,
o  ts_endo_1302,0.010100,0.159861,0.180539,0.045643,0.044944,0.134897,0.135595,
o  ts_endo_1305,0.045949,0.180390,0.237006,0.045500,0.044864,0.191506,0.192142,
o  ts_endo_1306,0.036944,0.208807,0.257682,0.048347,0.047506,0.209335,0.210176,
o  ts_endo_1307,-0.036631,0.214122,0.190626,0.051936,0.050453,0.138690,0.140173,
o  ts_endo_1308,0.034821,0.198209,0.244783,0.047956,0.046994,0.196827,0.197789,
o  ts_endo_1309,0.033584,0.171385,0.216517,0.048530,0.047302,0.167987,0.169215,
o  ts_endo_1310,0.093030,0.264261,0.372379,0.057464,0.055018,0.314915,0.317361,
o  ts_endo_1311,-0.007834,0.185725,0.189613,0.048484,0.047437,0.141129,0.142176,
o  ts_endo_1312,-0.016905,0.214119,0.210215,0.051394,0.050086,0.158821,0.160129,
o  ts_endo_1313,-0.089929,0.219437,0.143712,0.054966,0.053006,0.088746,0.090706,
